NQUEST,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA11,YTA12,YTA2,YTA3,YTA31,YTA32,YTA4,YTA5,YM,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4,CLY,CLY2
36443,40975.932216,17000,17000,0,15990,15990,15990,0,0,0,0,0,0,0,0,0,0,0,0,7985.9322163,7800,0,7800,185.93221633,185.93221633,0,0,0,7,4
36697,19594.869445,0,0,0,19500,19500,19500,0,0,0,0,0,0,0,0,0,0,0,0,94.869444659,0,0,0,94.869444659,94.869444659,0,0,0,3,2
36893,26114.94002,0,0,0,21840,21840,21840,0,0,0,0,0,0,0,0,0,0,0,0,4274.9400199,4200,0,4200,74.94001993,74.94001993,0,0,0,5,3
37299,21000,15000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,0,6000,0,0,0,0,0,4,2
37521,28631.709972,0,0,0,22620,22620,22620,0,0,0,0,0,0,0,0,0,0,0,0,6011.7099715,6000,0,6000,11.709971508,101.42684264,0,0,89.716871135,6,3
37810,9597.4943514,0,0,0,7182,7182,7182,0,0,0,0,0,0,0,0,0,0,0,0,2415.4943514,2400,0,2400,15.494351361,15.494351361,0,0,0,1,1
38014,28856.80258,0,0,0,23400,23400,23400,0,0,0,0,0,0,0,0,0,0,0,0,5456.8025805,5400,0,5400,56.802580462,56.802580462,0,0,0,6,3
38095,25810.846046,21000,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4810.846046,4800,0,4800,10.846045953,10.846045953,0,0,0,5,3
38106,37760.762431,0,0,0,25740,25740,25740,0,0,0,0,0,0,0,0,0,0,0,0,12020.762431,12000,0,12000,20.762430824,20.762430824,0,0,0,7,4
38316,95242.507499,54500,54500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,10742.507499,9600,0,9600,1142.5074991,15.494351361,372.93862524,754.0745225,0,10,5
38877,22759.328899,0,0,0,22750,22750,22750,0,0,0,0,0,0,0,0,0,0,0,0,9.3288987438,0,0,0,9.3288987438,9.3288987438,0,0,0,4,2
38885,33864.503912,0,0,0,26520,26520,26520,0,0,0,0,0,0,0,0,0,0,0,0,7344.5039122,7000,0,7000,344.50391223,306.17156837,0,38.332343856,0,6,3
38939,37239.70056,0,0,0,14200,13000,13000,0,1200,0,0,0,0,0,0,0,1200,0,12000,11039.70056,9200,0,9200,1839.7005604,335.20378559,0,1547.5608729,43.064098145,7,4
38940,38719.722289,0,0,0,30600,30600,30600,0,0,0,0,0,0,0,0,0,0,0,0,8119.7222888,8042.250532,0,8042.250532,77.471756805,77.471756805,0,0,0,7,4
39056,48611.240929,18000,18000,0,20800,20800,20800,0,0,0,0,0,0,0,0,0,0,0,0,9811.2409293,9600,0,9600,211.24092931,92.966108166,0,118.27482115,0,8,4
39086,41658.204523,0,0,0,33800,33800,33800,0,0,0,0,0,0,0,0,0,0,0,0,7858.2045232,7800,0,7800,58.204523158,23.241527042,34.962996117,0,0,8,4
39095,23507.702938,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,0,0,7907.7029377,7200,0,7200,707.70293767,352.57094349,46.617328155,308.51466603,0,4,2
39218,32743.481958,0,0,0,20800,20800,20800,0,0,0,0,0,0,0,0,0,0,0,0,11943.481958,11600,2000,9600,343.48195767,6.1977405444,186.46931262,150.8149045,0,6,3
39227,26543.286827,0,0,0,9750,9750,9750,0,0,0,0,0,0,0,0,0,0,0,7000,9793.2868272,9600,0,9600,193.28682722,6.8175145989,186.46931262,0,0,5,3
39317,66394.538154,38474.576271,38474.58,0,1925.4237288,0,0,0,1925.4237288,1925.4237288,1925.4237288,0,0,0,0,0,0,0,14000,11994.538154,11300,0,11300,694.53815422,36.372137522,0,658.1660167,0,9,5
39318,63584.230181,10000,10000,0,5600,0,0,0,5600,3000,0,3000,0,0,0,0,2600,0,30000,17984.230181,13541.946498,6700,6841.9464978,4442.2836832,185.02824574,0,5603.0085045,1345.753067,9,5
39488,24021.692092,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,0,0,8421.6920919,8400,0,8400,21.692091905,21.692091905,0,0,0,5,3
39697,50743.510977,0,0,0,42900,42900,42900,0,0,0,0,0,0,0,0,0,0,0,0,7843.5109766,7800,0,7800,43.510976648,43.510976648,0,0,0,9,5
50231,32340,18000,18000,0,10140,10140,10140,0,0,0,0,0,0,0,0,0,0,0,0,4200,4200,0,4200,0,0,0,0,0,6,3
51363,10021.532874,0,0,0,8450,8450,8450,0,0,0,0,0,0,0,0,0,0,0,0,1571.5328742,1455,0,1455,116.53287423,116.53287423,0,0,0,1,1
51544,25711.805806,0,0,0,19890,19890,19890,0,0,0,0,0,0,0,0,0,0,0,0,5821.8058058,6000,0,6000,-178.1941942,1.2395481089,0,0,179.43374227,5,3
51895,33273.944916,0,0,0,23660,23660,23660,0,0,0,0,0,0,0,0,0,0,0,0,9613.9449162,9600,0,9600,13.944916225,13.944916225,0,0,0,6,3
52700,16780.142657,0,0,0,11960,11960,11960,0,0,0,0,0,0,0,0,0,0,0,0,4820.1426568,4800,0,4800,20.142656769,20.142656769,0,0,0,3,2
52718,12501.825077,0,0,0,6500,6500,6500,0,0,0,0,0,0,0,0,0,0,0,0,6001.8250766,6000,0,6000,1.8250765943,1.8250765943,0,0,0,2,1
52736,11600,0,0,0,6000,0,0,0,6000,0,0,0,0,0,0,0,0,6000,0,5600,5600,0,5600,0,0,0,0,0,1,1
53086,37549.943514,28270,27000,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9279.9435136,9125,0,9125,154.94351361,154.94351361,0,0,0,7,4
53202,26076.743507,0,0,0,20000,20500,20500,0,-500,0,0,0,0,-500,0,500,0,0,0,6076.7435068,6000,0,6000,76.743506832,6.8175145989,69.925992233,0,0,5,3
53234,66054.943514,30000,30000,0,29900,29900,29900,0,0,0,0,0,0,0,0,0,0,0,0,6154.9435136,6000,0,6000,154.94351361,154.94351361,0,0,0,9,5
53373,48054.648305,0,0,0,39650,39650,39650,0,0,0,0,0,0,0,0,0,0,0,0,8404.6483054,8400,0,8400,4.6483054083,4.6483054083,0,0,0,8,4
53380,21501.549435,0,0,0,14300,14300,14300,0,0,0,0,0,0,0,0,0,0,0,0,7201.5494351,7200,0,7200,1.5494351361,1.5494351361,0,0,0,4,2
53552,13083.377123,13000,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.377123168,0,0,0,83.377123168,55.7796649,0,27.597458268,0,2,1
53564,31025.381379,0,0,0,1500,0,0,0,1500,0,0,0,0,0,0,0,1500,0,15000,14525.381379,14200,0,14200,325.38137858,325.38137858,0,0,0,6,3
53997,83393.186443,40000,40000,0,36156,42156,42156,0,-6000,0,0,0,0,-6000,0,6000,0,0,0,7237.1864433,7200,0,7200,37.186443267,37.186443267,0,0,0,10,5
55147,27773.944916,0,0,0,22360,22360,22360,0,0,0,0,0,0,0,0,0,0,0,0,5413.9449162,5400,0,5400,13.944916225,13.944916225,0,0,0,5,3
55425,8123.5050738,0,0,0,600,0,0,0,600,0,0,0,0,0,0,0,600,0,7500,23.505073756,0,0,0,23.505073756,23.505073756,0,0,0,1,1
55636,69487.186443,48200,47000,1200,13650,13650,13650,0,0,0,0,0,0,0,0,0,0,0,0,7637.1864433,7600,1400,6200,37.186443267,37.186443267,0,0,0,9,5
55774,24312.044755,13000,13000,0,6500,6500,6500,0,0,0,0,0,0,0,0,0,0,0,0,4812.0447553,4800,0,4800,12.044755323,12.044755323,0,0,0,5,3
56251,26615.494351,23000,23000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3615.4943514,3600,0,3600,15.494351361,15.494351361,0,0,0,5,3
56563,20548.922708,0,0,0,16900,16900,16900,0,0,0,0,0,0,0,0,0,0,0,0,3648.9227078,3600,0,3600,48.922707849,48.922707849,0,0,0,4,2
56582,40527.730632,19200,18200,1000,16250,16250,16250,0,0,0,0,0,0,0,0,0,0,0,0,5077.7306322,5000,0,5000,77.730632208,18.593221633,0,59.137410574,0,7,4
56603,25601.128986,15400,15400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5400,4801.1289862,4800,0,4800,1.1289862266,1.1289862266,0,0,0,5,3
56658,30249.222799,0,0,0,22880,22880,22880,0,0,0,0,0,0,0,0,0,0,0,0,7369.2227986,7200,0,7200,169.2227986,169.2227986,0,0,0,6,3
56677,58296.982983,14521,14521,0,28171,28171,28171,0,0,0,0,0,0,0,0,0,0,0,0,15604.982983,15600,0,15600,4.9829833977,4.9829833977,0,0,0,9,5
56721,23526.735281,0,0,0,16900,16900,16900,0,0,0,0,0,0,0,0,0,0,0,0,6626.7352807,6400,0,6400,226.73528068,108.46045953,0,118.27482115,0,4,2
56761,80060.103951,21000,21000,0,28370,27170,27170,0,1200,0,0,0,0,0,0,0,1200,0,18000,12690.103951,12000,0,12000,690.1039506,433.84183811,0,256.26211249,0,10,5
56762,33563.403973,0,0,0,27300,27300,27300,0,0,0,0,0,0,0,0,0,0,0,0,6263.4039731,6000,0,6000,263.40397314,263.40397314,0,0,0,6,3
57042,9600.6197741,0,0,0,7200,7200,7200,0,0,0,0,0,0,0,0,0,0,0,0,2400.6197741,2400,0,2400,0.6197740544,0.6197740544,0,0,0,1,1
57138,23703.718644,0,0,0,7800,19800,19800,0,-12000,0,0,0,0,-12000,0,12000,0,0,0,15903.718644,15900,300,15600,3.7186443267,3.7186443267,0,0,0,4,2
57621,50627.390952,0,0,0,37050,37050,37050,0,0,0,0,0,0,0,0,0,0,0,0,13577.390952,13500,0,13500,77.390952191,77.390952191,0,0,0,9,5
57670,52699.871735,43700,43700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8999.8717345,9600,0,9600,-600.1282655,27.88983245,0,0,628.01809795,9,5
57779,45015.494351,13000,13000,0,19500,19500,19500,0,0,0,0,0,0,0,0,0,0,0,0,12515.494351,12500,0,12500,15.494351361,15.494351361,0,0,0,8,4
57962,77245.222604,0,0,0,54600,54600,54600,0,0,0,0,0,0,0,0,0,0,0,0,22645.222604,19300,0,19300,3345.2226038,10.846045953,0,3334.3765579,0,10,5
60078,20801.549435,0,0,0,14800,9600,9600,0,5200,0,0,0,0,0,0,0,0,5200,0,6001.5494351,6000,0,6000,1.5494351361,1.5494351361,0,0,0,4,2
91071,44079.052186,37700,37700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6379.0521856,6000,0,6000,379.05218558,19.506327814,0,359.54585777,0,8,4
91079,42433.181061,34000,34000,0,1500,0,0,0,1500,0,0,0,1000,0,0,0,500,0,0,6933.1810615,6855,0,6855,78.181061461,78.181061461,0,0,0,8,4
91081,53904.994105,39517.241379,39517.24,0,2482.7586207,0,0,0,2482.7586207,2482.7586207,2482.7586207,0,0,0,0,0,0,0,0,11904.994105,12000,7200,4800,-95.00589501,5.57796649,0,78.849880766,179.43374227,9,5
91095,46012.571639,30150,30000,150,-5000,0,0,0,-5000,0,0,0,0,-5000,0,5000,0,0,0,20862.571639,20500,6500,14000,362.57163913,7.7471756805,0,354.82446345,0,8,4
111052,26353.09887,0,0,0,22150,22150,22150,0,0,0,0,0,0,0,0,0,0,0,0,4203.0988703,4200,0,4200,3.0988702722,3.0988702722,0,0,0,5,3
145007,95854.871356,16800,16800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,54054.871356,54000,4000,50000,54.871356099,54.871356099,0,0,0,10,5
178001,16902.479096,0,0,0,16900,16900,16900,0,0,0,0,0,0,0,0,0,0,0,0,2.4790962178,0,0,0,2.4790962178,2.4790962178,0,0,0,3,2
213440,28004.734042,0,0,0,20800,20800,20800,0,0,0,0,0,0,0,0,0,0,0,0,7204.7340418,7200,0,7200,4.7340418434,4.7340418434,0,0,0,5,3
224048,8307,0,0,0,8307,8307,8307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
